country_code,date,holiday_name
IE,1894-12-26,Saint Stephen's Day
IM,1894-12-26,Boxing Day
NL,1894-12-26,Second Day of Christmas
NZ,1894-12-26,Boxing Day
VE,1894-12-31,New Year's Eve
AU,1895-01-01,New Year's Day
BO,1895-01-01,New Year's Day
BR,1895-01-01,Universal Fraternization Day
CA,1895-01-01,New Year's Day
CH,1895-01-01,New Year's Day
FI,1895-01-01,New Year's Day
FR,1895-01-01,New Year's Day
NL,1895-01-01,New Year's Day
NZ,1895-01-01,New Year's Day
PT,1895-01-01,New Year's Day
US,1895-01-01,New Year's Day
VE,1895-01-01,New Year's Day
NZ,1895-01-02,Day after New Year's Day
FI,1895-01-06,Epiphany
US,1895-02-22,Washington's Birthday
BR,1895-02-24,Republic Constitution Day
BO,1895-02-25,Carnival
VE,1895-02-25,Monday of Carnival
BO,1895-02-26,Carnival
VE,1895-02-26,Tuesday of Carnival
VE,1895-04-11,Maundy Thursday
AU,1895-04-12,Good Friday
BO,1895-04-12,Good Friday
BR,1895-04-12,Good Friday
CA,1895-04-12,Good Friday
FI,1895-04-12,Good Friday
GB,1895-04-12,Good Friday
IM,1895-04-12,Good Friday
NZ,1895-04-12,Good Friday
PT,1895-04-12,Good Friday
VE,1895-04-12,Good Friday
FI,1895-04-14,Easter Sunday
NL,1895-04-14,Easter Sunday
PT,1895-04-14,Easter Sunday
AU,1895-04-15,Easter Monday
FI,1895-04-15,Easter Monday
FR,1895-04-15,Easter Monday
IE,1895-04-15,Easter Monday
IM,1895-04-15,Easter Monday
NL,1895-04-15,Easter Monday
NZ,1895-04-15,Easter Monday
VE,1895-04-19,Declaration of Independence
BR,1895-04-21,Tiradentes' Day
BO,1895-05-01,Labor Day
FI,1895-05-01,May Day
BR,1895-05-03,Discovery of Brazil
BR,1895-05-13,Abolition of slavery in Brazil
CH,1895-05-23,Ascension Day
FI,1895-05-23,Ascension Day
FR,1895-05-23,Ascension Day
NL,1895-05-23,Ascension Day
US,1895-05-30,Memorial Day
FI,1895-06-02,Whit Sunday
NL,1895-06-02,Whit Sunday
FR,1895-06-03,Whit Monday
IE,1895-06-03,Whit Monday
IM,1895-06-03,Whit Monday
NL,1895-06-03,Whit Monday
IM,1895-06-07,TT Bank Holiday
BO,1895-06-13,Corpus Christi
PT,1895-06-13,Corpus Christi
FI,1895-06-23,Midsummer Eve
FI,1895-06-24,Midsummer Day
VE,1895-06-24,Battle of Carabobo
CA,1895-07-01,Dominion Day
US,1895-07-04,Independence Day
IM,1895-07-05,Tynwald Day
VE,1895-07-05,Independence Day
BR,1895-07-14,Freedom and Independence of American Peoples
FR,1895-07-14,National Day
CH,1895-08-01,National Day
IE,1895-08-05,August Bank Holiday
BO,1895-08-06,Independence Day
FR,1895-08-15,Assumption Day
PT,1895-08-15,Assumption Day
NL,1895-08-31,Queen's Day
CA,1895-09-02,Labor Day
US,1895-09-02,Labor Day
BR,1895-09-07,Independence Day
BR,1895-10-12,Discovery of America
FI,1895-11-01,All Saints' Day
FR,1895-11-01,All Saints' Day
PT,1895-11-01,All Saints' Day
BR,1895-11-02,All Souls' Day
BR,1895-11-15,Republic Proclamation Day
US,1895-11-28,Thanksgiving Day
PT,1895-12-01,Restoration of Independence Day
PT,1895-12-08,Immaculate Conception
FI,1895-12-24,Christmas Eve
VE,1895-12-24,Christmas Eve
AU,1895-12-25,Christmas Day
BO,1895-12-25,Christmas Day
CA,1895-12-25,Christmas Day
CH,1895-12-25,Christmas Day
FI,1895-12-25,Christmas Day
FR,1895-12-25,Christmas Day
GB,1895-12-25,Christmas Day
IE,1895-12-25,Christmas Day
IM,1895-12-25,Christmas Day
NL,1895-12-25,Christmas Day
NZ,1895-12-25,Christmas Day
PT,1895-12-25,Christmas Day
US,1895-12-25,Christmas Day
VE,1895-12-25,Christmas Day
AU,1895-12-26,Boxing Day
FI,1895-12-26,Second Day of Christmas
GB,1895-12-26,Boxing Day
IE,1895-12-26,Saint Stephen's Day
IM,1895-12-26,Boxing Day
NL,1895-12-26,Second Day of Christmas
NZ,1895-12-26,Boxing Day
VE,1895-12-31,New Year's Eve
AU,1896-01-01,New Year's Day
BO,1896-01-01,New Year's Day
BR,1896-01-01,Universal Fraternization Day
CA,1896-01-01,New Year's Day
CH,1896-01-01,New Year's Day
FI,1896-01-01,New Year's Day
FR,1896-01-01,New Year's Day
NL,1896-01-01,New Year's Day
NZ,1896-01-01,New Year's Day
PT,1896-01-01,New Year's Day
US,1896-01-01,New Year's Day
VE,1896-01-01,New Year's Day
NZ,1896-01-02,Day after New Year's Day
FI,1896-01-06,Epiphany
BO,1896-02-17,Carnival
VE,1896-02-17,Monday of Carnival
BO,1896-02-18,Carnival
VE,1896-02-18,Tuesday of Carnival
US,1896-02-22,Washington's Birthday
BR,1896-02-24,Republic Constitution Day
VE,1896-04-02,Maundy Thursday
AU,1896-04-03,Good Friday
BO,1896-04-03,Good Friday
BR,1896-04-03,Good Friday
CA,1896-04-03,Good Friday
FI,1896-04-03,Good Friday
GB,1896-04-03,Good Friday
IM,1896-04-03,Good Friday
NZ,1896-04-03,Good Friday
PT,1896-04-03,Good Friday
VE,1896-04-03,Good Friday
FI,1896-04-05,Easter Sunday
NL,1896-04-05,Easter Sunday
PT,1896-04-05,Easter Sunday
AU,1896-04-06,Easter Monday
FI,1896-04-06,Easter Monday
FR,1896-04-06,Easter Monday
IE,1896-04-06,Easter Monday
IM,1896-04-06,Easter Monday
NL,1896-04-06,Easter Monday
NZ,1896-04-06,Easter Monday
VE,1896-04-19,Declaration of Independence
BR,1896-04-21,Tiradentes' Day
BO,1896-05-01,Labor Day
FI,1896-05-01,May Day
